old_name,scene,frame,new_name,description,category,status
sub_E9C,Sega screen,180,,Writes VDP register values from RAM buffer to hardware,Gfx,analyzed
sub_2016,Sega screen,180,,Main object processing loop - iterates through active objects,Sys,analyzed
sub_21F0,Sega screen,180,,Initializes object pointer table in RAM,Sys,analyzed
sub_2224,Sega screen,180,,Updates object list with new entries,Sys,analyzed
sub_22C4,Sega screen,180,,Prepares sprite OAM entry with position and attributes,Sprite,analyzed
sub_B9EA,Sega screen,180,,Synchronizes palette data across multiple RAM buffers,Gfx,analyzed
sub_111B4,Sega screen,180,,Updates tilemap tile indices and palette bits with offset,Gfx,analyzed
sub_1A29C,Sega screen,180,,Processes all objects with screen bounds culling,Sys,analyzed
sub_1C902,Sega screen,180,,Calculates number of active visible objects from list pointer,Sys,analyzed
sub_1D120,Sega screen,180,,Copies two palette lines between RAM buffers,Gfx,analyzed
sub_BD4,Title screen,360,,Handles timed events and callbacks during VBlank,Sys,analyzed
sub_2D6C,Title screen,360,,Full game mode initialization sequence,Sys,analyzed
sub_2D94,Title screen,360,,Initializes core subsystems and memory structures,Sys,analyzed
sub_2DFE,Title screen,360,,Initializes video mode and clears VRAM,Gfx,analyzed
sub_2EBC,Title screen,360,,Clears 32KB RAM block to zero,Sys,analyzed
sub_317C,Title screen,360,,Clears entire VRAM with interrupts disabled,Gfx,analyzed
sub_33BA,Title screen,360,,Acquires Z80 bus for sound operations,Sound,analyzed
sub_33D8,Title screen,360,,Reads controller input from I/O ports,Input,analyzed
sub_349A,Title screen,360,,Low-level controller port bit reading,Input,analyzed
sub_10AE4,Title screen,360,,Loads pointer to data table 1,Sys,analyzed
sub_10AF4,Title screen,360,,Loads pointer to data table 2,Sys,analyzed
sub_1F6A,Stage 1,540,,Configures VDP DMA registers for data transfer,Gfx,analyzed
sub_208E,Stage 1,540,,Processes sprite DMA queue for batch transfers,Sprite,analyzed
sub_2160,Stage 1,540,,Updates animation frame with timer and pointer management,Anim,analyzed
sub_2316,Stage 1,540,,Renders sprite tiles with position calculation,Sprite,analyzed
